movie_id,genre_id
2762,53
2762,10749
2762,9648
25563,80
25563,18
25563,53
59950,35
43278,18
43278,36
29872,10402
29872,35
29872,10749
940,9648
940,53
940,35
16274,35
16274,10749
16274,18
46688,28
46688,18
46688,10752
1976,18
1976,10749
140995,18
42390,18
23255,80
23255,53
23255,9648
10907,12
10907,10749
10907,36
31996,35
31996,10749
900,35
900,10749
67880,18
67880,10402
67880,10749
43855,35
43855,80
43855,9648
43855,10749
43844,35
43844,18
13696,80
13696,18
630,12
630,14
630,10751
770,18
770,10752
770,10749
17660,37
22490,35
22490,18
995,37
995,12
3084,18
3084,10749
42852,18
42852,10749
1859,35
1859,10749
78318,18
78318,36
78318,10749
27972,18
27972,10749
16902,18
16902,36
16902,10749
43838,18
43838,36
43829,37
73194,18
73194,36
73194,10752
67375,18
67375,36
22999,35
22999,10752
31685,18
31685,10749
31685,27
22553,35
22553,10402
89723,35
89723,9648
59701,9648
59701,53
51802,18
776,18
776,35
776,10749
32610,35
32610,10402
43828,37
43828,35
23280,35
23280,80
23280,9648
17481,80
17481,9648
17481,53
3083,35
3083,18
31995,80
31995,12
31995,53
27053,80
27053,18
42518,16
42518,10751
42518,28
42518,12
43739,18
43739,10749
10895,16
10895,10751
10895,14
223,9648
223,10749
223,53
223,18
12232,12
12232,14
12232,10749
989,18
32194,35
32194,10749
55604,12
55604,18
55604,10749
55604,37
50271,18
50271,10749
50271,12
43821,37
43807,18
43807,10749
17801,80
17801,18
596,18
33810,35
37426,27
37426,878
1718,37
3085,35
3085,10749
26201,12
26201,36
26201,10749
914,35
914,10752
43818,18
43818,10749
80054,18
80054,10749
46939,27
46939,53
46939,9648
32196,18
32196,35
32196,10749
981,35
981,10749
756,16
756,10751
756,14
115112,18
55207,53
55207,9648
152275,28
152275,80
152275,18
25670,53
25670,9648
25670,28
20334,35
20334,18
20334,10749
43812,18
95874,35
95874,10749
42678,18
963,9648
963,80
963,53
15,9648
15,18
11360,16
11360,10751
43802,18
43802,10749
43802,36
3086,35
3086,10749
43801,35
43801,10749
31309,16
31309,35
31309,10751
27725,80
27725,18
13666,27
13666,18
142876,35
142876,18
105038,18
21735,10752
21735,53
29601,35
29601,10402
14604,35
14604,27
32574,35
32574,18
16305,35
16305,10749
16305,12
252463,35
252463,80
252463,9648
42066,18
42066,53
11462,9648
11462,10749
11462,53
43797,35
43797,10402
43797,10749
43266,18
22752,10751
22752,16
22752,35
22752,14
23104,27
23104,35
39871,35
39871,10749
32847,10749
32847,18
289,18
289,10749
965,18
965,10749
3170,16
3170,18
3170,10751
44530,10749
44530,12
44530,18
27017,10402
27017,10749
27017,10752
43523,10749
43523,35
43523,14
25508,9648
25508,27
25508,10749
22741,27
22741,10752
27372,18
27655,18
27655,35
27655,10749
26319,35
20640,35
20640,10749
20640,18
198,35
198,10752
198,10749
18706,9648
