movie_id,title,original_title,original_language,popularity,release_date,year,vote_average,vote_count,imdbid,bechdel_rating,bechdel_dubious,bechdel_id,bechdel_date
12187,Heart and Souls,Heart and Souls,en,16.305,1993-08-13,1993,6.9,383,107091,2,0,3123,2012-03-16
1550,Pieces of April,Pieces of April,en,10.312,2003-10-17,2003,6.5,236,311648,3,0,3176,2012-04-11
11969,Tombstone,Tombstone,en,34.389,1993-12-25,1993,7.6,2132,108358,3,0,3180,2012-04-12
37100,Sailor Moon R: The Movie,劇場版 美少女戦士セーラームーンR,ja,17.107,1993-12-05,1993,7.9,160,106417,3,0,3330,2012-06-07
14291,Searching for Bobby Fischer,Searching for Bobby Fischer,en,13.108,1993-08-13,1993,7.076,566,108065,0,0,3336,2012-06-10
9350,Cliffhanger,Cliffhanger,en,26.503,1993-05-28,1993,6.502,2368,106582,1,0,3369,2012-06-21
26333,Untamed Heart,Untamed Heart,en,9.532,1993-02-12,1993,6.9,232,108451,3,0,3396,2012-07-03
43636,The Heroic Trio,東方三俠,cn,10.209,1993-02-12,1993,6.5,85,105619,3,0,3405,2012-07-08
21450,Naked,Naked,en,13.807,1993-09-14,1993,7.3,554,107653,3,0,3550,2012-09-26
10852,The Kung Fu Cult Master,倚天屠龍記之魔教教主,cn,16.389,1993-12-18,1993,6.7,75,108624,3,0,3692,2012-11-26
11041,The Beverly Hillbillies,The Beverly Hillbillies,en,21.732,1993-10-15,1993,6.3,537,106400,3,0,3704,2012-12-02
17912,Gypsy,Gypsy,en,4.47,1993-12-12,1993,6.5,29,107065,3,0,3715,2012-12-06
1245,The Remains of the Day,The Remains of the Day,en,20.466,1993-11-05,1993,7.4,1312,107943,1,0,3761,2012-12-20
13063,Cannibal! The Musical,Cannibal! The Musical,en,6.986,1996-08-30,1996,6.3,141,115819,0,1,3921,2013-02-21
11122,India,Indien - der Film,de,3.697,1993-10-07,1993,7.773,44,107214,0,0,4337,2013-07-12
9607,Super Mario Bros.,Super Mario Bros.,en,17.612,1993-05-28,1993,4.416,1310,108255,3,1,4422,2013-07-30
204569,Telling Secrets,Telling Secrets,en,2.106,1993-01-17,1993,4.6,8,108310,3,0,4555,2013-09-11
9612,Coneheads,Coneheads,en,23.868,1993-07-23,1993,5.42,917,106598,3,0,4636,2013-09-27
14919,Batman: Mask of the Phantasm,Batman: Mask of the Phantasm,en,18.987,1993-12-25,1993,7.5,1105,106364,0,0,4877,2013-11-25
10655,Gettysburg,Gettysburg,en,21.032,1993-10-08,1993,6.9,295,107007,0,0,4917,2013-12-05
33506,Indian Summer,Indian Summer,en,6.261,1993-04-23,1993,6.3,65,107212,3,0,5065,2014-01-12
10423,Dragon: The Bruce Lee Story,Dragon: The Bruce Lee Story,en,21.066,1993-05-07,1993,6.916,740,106770,3,0,5083,2014-01-17
5550,RoboCop 3,RoboCop 3,en,20.143,1993-01-21,1993,4.847,1288,107978,3,0,5238,2014-03-05
2149,Body of Evidence,Body of Evidence,en,13.923,1993-01-15,1993,5.0,302,106453,3,1,5243,2014-03-06
695,Short Cuts,Short Cuts,en,13.741,1993-09-05,1993,7.2,594,108122,3,0,5316,2014-03-24
4722,Body Snatchers,Body Snatchers,en,11.913,1993-06-09,1993,6.1,424,106452,3,0,5521,2014-06-01
7007,Rising Sun,Rising Sun,en,12.373,1993-07-30,1993,6.2,748,107969,1,0,5580,2014-06-20
37233,The Firm,The Firm,en,18.431,1993-06-30,1993,6.745,2007,106918,3,0,6474,2015-10-02
9702,Bound by Honor,Bound by Honor,en,40.258,1993-02-05,1993,8.135,1348,106469,0,0,5665,2014-07-31
14587,Bhaji on the Beach,Bhaji on the Beach,en,2.671,1993-09-11,1993,5.3,26,106408,3,0,5725,2014-09-04
9800,Philadelphia,Philadelphia,en,21.425,1993-12-22,1993,7.72,4239,107818,2,0,5919,2014-11-13
867,Sliver,Sliver,en,26.051,1993-05-21,1993,5.486,693,108162,3,0,6076,2015-01-27
9255,Hot Shots! Part Deux,Hot Shots! Part Deux,en,22.508,1993-05-21,1993,6.545,1838,107144,3,0,6173,2015-03-29
10997,Farewell My Concubine,霸王别姬,zh,20.186,1993-01-01,1993,8.0,582,106332,0,0,6215,2015-04-21
319,True Romance,True Romance,en,30.115,1993-09-09,1993,7.544,2726,108399,1,0,6349,2015-07-12
1587,What's Eating Gilbert Grape,What's Eating Gilbert Grape,en,27.695,1993-12-17,1993,7.664,3947,108550,3,1,6492,2015-10-14
25389,Matinee,Matinee,en,7.942,1993-01-29,1993,6.6,287,107529,1,0,6844,2016-04-21
58787,Arctic Blue,Arctic Blue,en,6.013,1993-01-01,1993,4.5,24,106303,1,0,7055,2016-08-21
39324,Dragon Ball Z: The History of Trunks,ドラゴンボールZ・絶望への反抗!!残された超戦士・悟飯とトランクス,ja,23.822,1993-02-24,1993,7.6,535,142247,1,0,7209,2016-10-17
31578,Body Bags,Body Bags,en,7.334,1993-08-08,1993,6.1,329,106449,1,0,7272,2016-11-18
9944,The Pelican Brief,The Pelican Brief,en,19.059,1993-09-17,1993,6.6,1580,107798,3,0,7277,2016-11-21
41660,The Making of '...And God Spoke',The Making of '...And God Spoke',en,1.676,1994-09-23,1994,5.4,14,107492,1,0,7418,2017-01-25
7984,In the Name of the Father,In the Name of the Father,en,13.964,1993-12-12,1993,7.899,1754,107207,2,0,7514,2017-03-14
15765,What's Love Got to Do with It,What's Love Got to Do with It,en,10.992,1993-06-09,1993,7.124,319,108551,3,1,7526,2017-03-21
9559,A Perfect World,A Perfect World,en,14.801,1993-11-24,1993,7.5,1655,107808,1,0,7611,2017-05-21
