,,Contestants,Total score,Romania,Ireland,Germany,Serbia,Albania,Turkey,Croatia,Poland,Bosnia and Herzegovina,Finland,Slovenia,Estonia,Russia,Portugal,Azerbaijan,Greece,Iceland,Denmark,France,Spain,Slovakia,Bulgaria,Ukraine,Latvia,Malta,Norway,Cyprus,Lithuania,Belarus,Switzerland,Belgium,United Kingdom,Netherlands,Israel,Macedonia,Moldova,Georgia,Sweden,Armenia,Italy,Austria,San Marino,Hungary,Montenegro,Australia,Czech Republic,Jury score,Televoting score,North Macedonia
euro_2011,7,Estonia,44.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,8,Greece,120.0,8.0,0.0,10.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,7.0,2.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,9,Russia,77.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,4.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,10,France,82.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,11,Italy,189.0,6.0,5.0,3.0,2.0,12.0,0.0,0.0,10.0,6.0,3.0,3.0,6.0,0.0,10.0,1.0,10.0,3.0,0.0,8.0,12.0,0.0,0.0,0.0,12.0,10.0,0.0,1.0,10.0,3.0,4.0,6.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,6.0,0.0,6.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,12,Switzerland,19.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,13,United Kingdom,100.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,2.0,2.0,3.0,1.0,0.0,0.0,12.0,3.0,5.0,7.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,14,Moldova,97.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,7.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,15,Germany,107.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,2.0,8.0,8.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
euro_2011,16,Romania,77.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,6.0,0.0,12.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
